episode: 1, reward: -169, avg_reward: -169, epsilon: 1.00
episode: 2, reward: -129, avg_reward: -149, epsilon: 1.00
episode: 3, reward: -322, avg_reward: -207, epsilon: 1.00
episode: 4, reward: -136, avg_reward: -189, epsilon: 1.00
episode: 5, reward: -156, avg_reward: -183, epsilon: 0.99
episode: 6, reward: -353, avg_reward: -211, epsilon: 0.99
episode: 7, reward: -134, avg_reward: -200, epsilon: 0.99
episode: 8, reward: -411, avg_reward: -226, epsilon: 0.99
episode: 9, reward: -360, avg_reward: -241, epsilon: 0.99
episode: 10, reward: -274, avg_reward: -244, epsilon: 0.99
episode: 11, reward: -244, avg_reward: -244, epsilon: 0.99
episode: 12, reward: -323, avg_reward: -251, epsilon: 0.99
episode: 13, reward: -193, avg_reward: -246, epsilon: 0.99
episode: 14, reward: -287, avg_reward: -249, epsilon: 0.99
episode: 15, reward: -210, avg_reward: -247, epsilon: 0.98
episode: 16, reward: -137, avg_reward: -240, epsilon: 0.98
episode: 17, reward: -178, avg_reward: -236, epsilon: 0.98
episode: 18, reward: -281, avg_reward: -239, epsilon: 0.98
episode: 19, reward: -271, avg_reward: -240, epsilon: 0.98
episode: 20, reward: -140, avg_reward: -235, epsilon: 0.98
episode: 21, reward: -246, avg_reward: -236, epsilon: 0.98
episode: 22, reward: -157, avg_reward: -232, epsilon: 0.98
episode: 23, reward: -144, avg_reward: -228, epsilon: 0.98
episode: 24, reward: -135, avg_reward: -225, epsilon: 0.98
episode: 25, reward: -278, avg_reward: -227, epsilon: 0.97
episode: 26, reward: -193, avg_reward: -225, epsilon: 0.97
episode: 27, reward: -146, avg_reward: -222, epsilon: 0.97
episode: 28, reward: -135, avg_reward: -219, epsilon: 0.97
episode: 29, reward: -234, avg_reward: -220, epsilon: 0.97
episode: 30, reward: -96, avg_reward: -216, epsilon: 0.97
episode: 31, reward: -330, avg_reward: -219, epsilon: 0.97
episode: 32, reward: -169, avg_reward: -218, epsilon: 0.97
episode: 33, reward: -142, avg_reward: -216, epsilon: 0.97
episode: 34, reward: -91, avg_reward: -212, epsilon: 0.97
episode: 35, reward: -194, avg_reward: -211, epsilon: 0.96
episode: 36, reward: -134, avg_reward: -209, epsilon: 0.96
episode: 37, reward: -298, avg_reward: -212, epsilon: 0.96
episode: 38, reward: -271, avg_reward: -213, epsilon: 0.96
episode: 39, reward: -157, avg_reward: -212, epsilon: 0.96
episode: 40, reward: -243, avg_reward: -213, epsilon: 0.96
episode: 41, reward: -219, avg_reward: -213, epsilon: 0.96
episode: 42, reward: -296, avg_reward: -215, epsilon: 0.96
episode: 43, reward: -165, avg_reward: -214, epsilon: 0.96
episode: 44, reward: -257, avg_reward: -214, epsilon: 0.96
episode: 45, reward: -399, avg_reward: -219, epsilon: 0.95
episode: 46, reward: -227, avg_reward: -219, epsilon: 0.95
episode: 47, reward: -139, avg_reward: -217, epsilon: 0.95
episode: 48, reward: -131, avg_reward: -215, epsilon: 0.95
