episode: 1, reward: -169, avg_reward: -169, epsilon: 0.99
episode: 2, reward: -129, avg_reward: -149, epsilon: 0.99
episode: 3, reward: -322, avg_reward: -207, epsilon: 0.98
episode: 4, reward: -132, avg_reward: -188, epsilon: 0.98
episode: 5, reward: -418, avg_reward: -234, epsilon: 0.97
episode: 6, reward: -472, avg_reward: -274, epsilon: 0.97
episode: 7, reward: -129, avg_reward: -253, epsilon: 0.96
episode: 8, reward: -248, avg_reward: -252, epsilon: 0.96
episode: 9, reward: -117, avg_reward: -237, epsilon: 0.95
episode: 10, reward: -173, avg_reward: -231, epsilon: 0.95
episode: 11, reward: -171, avg_reward: -225, epsilon: 0.94
episode: 12, reward: -187, avg_reward: -222, epsilon: 0.94
episode: 13, reward: -158, avg_reward: -217, epsilon: 0.93
episode: 14, reward: -147, avg_reward: -212, epsilon: 0.93
episode: 15, reward: -435, avg_reward: -227, epsilon: 0.92
episode: 16, reward: -233, avg_reward: -227, epsilon: 0.92
episode: 17, reward: -197, avg_reward: -226, epsilon: 0.91
episode: 18, reward: -133, avg_reward: -220, epsilon: 0.91
episode: 19, reward: -106, avg_reward: -214, epsilon: 0.90
episode: 20, reward: -329, avg_reward: -220, epsilon: 0.90
episode: 21, reward: -193, avg_reward: -219, epsilon: 0.89
episode: 22, reward: -202, avg_reward: -218, epsilon: 0.89
episode: 23, reward: -293, avg_reward: -221, epsilon: 0.88
episode: 24, reward: -268, avg_reward: -223, epsilon: 0.88
episode: 25, reward: -184, avg_reward: -222, epsilon: 0.87
episode: 26, reward: -314, avg_reward: -225, epsilon: 0.87
episode: 27, reward: -126, avg_reward: -222, epsilon: 0.86
episode: 28, reward: -211, avg_reward: -221, epsilon: 0.86
episode: 29, reward: -295, avg_reward: -224, epsilon: 0.85
episode: 30, reward: -305, avg_reward: -227, epsilon: 0.85
episode: 31, reward: -143, avg_reward: -224, epsilon: 0.84
episode: 32, reward: -121, avg_reward: -221, epsilon: 0.84
episode: 33, reward: -312, avg_reward: -223, epsilon: 0.83
episode: 34, reward: -54, avg_reward: -218, epsilon: 0.83
episode: 35, reward: -97, avg_reward: -215, epsilon: 0.82
episode: 36, reward: -281, avg_reward: -217, epsilon: 0.82
episode: 37, reward: -111, avg_reward: -214, epsilon: 0.81
episode: 38, reward: -338, avg_reward: -217, epsilon: 0.81
episode: 39, reward: -117, avg_reward: -215, epsilon: 0.80
episode: 40, reward: 84, avg_reward: -207, epsilon: 0.80
episode: 41, reward: -216, avg_reward: -207, epsilon: 0.79
episode: 42, reward: -234, avg_reward: -208, epsilon: 0.79
episode: 43, reward: -240, avg_reward: -209, epsilon: 0.78
episode: 44, reward: -126, avg_reward: -207, epsilon: 0.78
episode: 45, reward: -141, avg_reward: -205, epsilon: 0.77
episode: 46, reward: -166, avg_reward: -205, epsilon: 0.77
episode: 47, reward: -193, avg_reward: -204, epsilon: 0.76
episode: 48, reward: -163, avg_reward: -203, epsilon: 0.76
episode: 49, reward: -131, avg_reward: -202, epsilon: 0.75
episode: 50, reward: -116, avg_reward: -200, epsilon: 0.75
episode: 51, reward: -165, avg_reward: -199, epsilon: 0.74
episode: 52, reward: -243, avg_reward: -200, epsilon: 0.74
episode: 53, reward: -126, avg_reward: -199, epsilon: 0.73
episode: 54, reward: -370, avg_reward: -202, epsilon: 0.73
episode: 55, reward: -84, avg_reward: -200, epsilon: 0.72
episode: 56, reward: -138, avg_reward: -199, epsilon: 0.72
episode: 57, reward: -118, avg_reward: -197, epsilon: 0.71
episode: 58, reward: -288, avg_reward: -199, epsilon: 0.71
episode: 59, reward: -141, avg_reward: -198, epsilon: 0.70
episode: 60, reward: -168, avg_reward: -198, epsilon: 0.70
episode: 61, reward: -74, avg_reward: -195, epsilon: 0.69
episode: 62, reward: -90, avg_reward: -194, epsilon: 0.69
episode: 63, reward: -189, avg_reward: -194, epsilon: 0.68
episode: 64, reward: -88, avg_reward: -192, epsilon: 0.68
episode: 65, reward: -83, avg_reward: -190, epsilon: 0.67
episode: 66, reward: -153, avg_reward: -190, epsilon: 0.67
episode: 67, reward: -205, avg_reward: -190, epsilon: 0.66
episode: 68, reward: -263, avg_reward: -191, epsilon: 0.66
episode: 69, reward: -328, avg_reward: -193, epsilon: 0.65
