episode: 1, reward: -169, avg_reward: -169, epsilon: 1.00
episode: 2, reward: -129, avg_reward: -149, epsilon: 1.00
episode: 3, reward: -322, avg_reward: -207, epsilon: 1.00
episode: 4, reward: -136, avg_reward: -189, epsilon: 1.00
episode: 5, reward: -156, avg_reward: -183, epsilon: 1.00
episode: 6, reward: -348, avg_reward: -210, epsilon: 1.00
episode: 7, reward: -338, avg_reward: -228, epsilon: 1.00
episode: 8, reward: -481, avg_reward: -260, epsilon: 1.00
episode: 9, reward: -209, avg_reward: -254, epsilon: 1.00
episode: 10, reward: -245, avg_reward: -253, epsilon: 1.00
episode: 11, reward: -374, avg_reward: -264, epsilon: 0.99
episode: 12, reward: -175, avg_reward: -257, epsilon: 0.99
episode: 13, reward: -423, avg_reward: -270, epsilon: 0.99
episode: 14, reward: -334, avg_reward: -274, epsilon: 0.99
episode: 15, reward: -409, avg_reward: -283, epsilon: 0.99
episode: 16, reward: -158, avg_reward: -276, epsilon: 0.99
episode: 17, reward: -198, avg_reward: -271, epsilon: 0.99
episode: 18, reward: -466, avg_reward: -282, epsilon: 0.99
episode: 19, reward: -131, avg_reward: -274, epsilon: 0.99
episode: 20, reward: -194, avg_reward: -270, epsilon: 0.99
episode: 21, reward: -131, avg_reward: -263, epsilon: 0.99
episode: 22, reward: -208, avg_reward: -261, epsilon: 0.99
episode: 23, reward: -307, avg_reward: -263, epsilon: 0.99
episode: 24, reward: -142, avg_reward: -258, epsilon: 0.99
episode: 25, reward: -372, avg_reward: -262, epsilon: 0.99
episode: 26, reward: -107, avg_reward: -256, epsilon: 0.99
episode: 27, reward: -55, avg_reward: -249, epsilon: 0.99
episode: 28, reward: -117, avg_reward: -244, epsilon: 0.99
episode: 29, reward: -302, avg_reward: -246, epsilon: 0.99
episode: 30, reward: -70, avg_reward: -240, epsilon: 0.99
episode: 31, reward: -182, avg_reward: -238, epsilon: 0.98
episode: 32, reward: -275, avg_reward: -240, epsilon: 0.98
episode: 33, reward: -130, avg_reward: -236, epsilon: 0.98
episode: 34, reward: -74, avg_reward: -231, epsilon: 0.98
episode: 35, reward: -155, avg_reward: -229, epsilon: 0.98
episode: 36, reward: -164, avg_reward: -227, epsilon: 0.98
episode: 37, reward: -147, avg_reward: -225, epsilon: 0.98
episode: 38, reward: -383, avg_reward: -229, epsilon: 0.98
episode: 39, reward: -258, avg_reward: -230, epsilon: 0.98
episode: 40, reward: -55, avg_reward: -226, epsilon: 0.98
episode: 41, reward: -355, avg_reward: -229, epsilon: 0.98
episode: 42, reward: -211, avg_reward: -229, epsilon: 0.98
episode: 43, reward: -144, avg_reward: -227, epsilon: 0.98
episode: 44, reward: -371, avg_reward: -230, epsilon: 0.98
episode: 45, reward: -116, avg_reward: -227, epsilon: 0.98
episode: 46, reward: -221, avg_reward: -227, epsilon: 0.98
episode: 47, reward: -241, avg_reward: -227, epsilon: 0.98
episode: 48, reward: -89, avg_reward: -225, epsilon: 0.98
